Tram,Operator,,Livery,Status,Interior,In Service,Withdrawn,Notes
D2.5013,Yarra Trams,Brunswick,,In Service,Original - M>Tram,"Thu, 2nd Sep 2004",,
D2.5014,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Thu, 2nd Sep 2004",,
D2.5015,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Thu, 2nd Sep 2004",,
D2.5016,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Thu, 2nd Sep 2004",,
D2.5017,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Tue, 30th Nov 2004",Damaged by collision with truck early June 2018,
D2.5018,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Tue, 30th Nov 2004",,
D2.5019,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Tue, 30th Nov 2004",,
D2.5020,Yarra Trams,Brunswick,,In Service,Original - M>Tram,"Tue, 30th Nov 2004",,
D2.5021,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Tue, 30th Nov 2004",,
C2.5123,Bumblebee 1,Yarra Trams,Southbank,PTV,In Service,"Wed, 11th Jun 2008","Briefly numbered as 5101 during testing, renumbered to 5123 upon entering service.",
C2.5113,Bumblebee 2,Yarra Trams,Southbank,PTV,In Service,"Thu, 17th Jul 2008",,
C2.5103,Bumblebee 3,Yarra Trams,Southbank,PTV,In Service,"Wed, 13th Aug 2008",,
C2.5106,Bumblebee 4,Yarra Trams,Southbank,PTV,In Service,"Mon, 13th Oct 2008",,
C2.5111,Bumblebee 5,Yarra Trams,Southbank,PTV,In Service,,,
E.6001,Yarra Trams,Preston,PTV,In Service,"Fri, 28th Jun 2013","Mon, 4th Nov 2013",,
E.6002,Yarra Trams,Preston,PTV,In Service,"Sat, 27th Jul 2013","Mon, 4th Nov 2013",,
E.6003,Yarra Trams,Preston,PTV,In Service,"Sat, 28th Sep 2013",41609,,
E.6004,Yarra Trams,Preston,PTV,In Service,2013,41640,,
E.6005,Yarra Trams,Preston,PTV,In Service,2013,41640,,
E.6006,Yarra Trams,Preston,PTV,In Service,2013,"Mon, 22nd Dec 2014",,
E.6007,Yarra Trams,Preston,PTV,In Service,,"Mon, 14th Jul 2014",,
E.6008,Yarra Trams,Preston,PTV,In Service,,"Mon, 20th Oct 2014",,
E.6009,Yarra Trams,Preston,PTV,In Service,,"Mon, 4th Aug 2014",,
E.6010,Yarra Trams,Preston,PTV,In Service,2014,"Mon, 1st Sep 2014",,
E.6011,Yarra Trams,Preston,PTV,In Service,2014,"Mon, 6th Oct 2014",,
E.6012,Yarra Trams,Preston,PTV,In Service,2014,"Mon, 24th Nov 2014",,
E.6013,Yarra Trams,Preston,PTV,In Service,2014,"Mon, 1st Dec 2014",,
E.6014,Yarra Trams,Preston,PTV,In Service,2014,"Mon, 8th Dec 2014",,
E.6015,Yarra Trams,Preston,PTV,In Service,2014,"Mon, 15th Dec 2014",,
E.6016,Yarra Trams,Preston,PTV,In Service,2014,"Mon, 19th Jan 2015",,
E.6017,Yarra Trams,Preston,PTV,In Service,2014,"Mon, 9th Feb 2015",,
E.6018,Yarra Trams,Preston,PTV,In Service,2015,"Tue, 17th Mar 2015",,
E.6019,Yarra Trams,Preston,PTV,In Service,2015,"Tue, 14th Apr 2015",CatDog: Has an E2 class drivers can at one end,
E.6020,Yarra Trams,Preston,PTV,In Service,2015,"Mon, 27th Apr 2015",,
E.6021,Yarra Trams,Southbank,,In Service,2015,"Mon, 4th May 2015",,
E.6022,Yarra Trams,Preston,PTV,In Service,42064,"Mon, 20th Apr 2015",,
E.6023,Yarra Trams,Preston,PTV,In Service,2015,"Mon, 11th May 2015",CatDog: Has an E2 class drivers can at one end,
E.6024,Yarra Trams,Preston,PTV,In Service,2015,"Sun, 21st Jun 2015",Allocated to Preston Depot in May 2015 for crew training purposes ahead of forthcoming operation from that depot.,
E.6025,Yarra Trams,Preston,,In Service,2015,"Mon, 13th Jul 2015",,
E.6026,Yarra Trams,Preston,,In Service,2015,"Mon, 27th Jul 2015",,
E.6027,Yarra Trams,Preston,PTV,In Service,2015,"Mon, 17th Aug 2015",,
E.6028,Yarra Trams,Preston,PTV,In Service,2015,"Mon, 14th Sep 2015",,
E.6029,Yarra Trams,Preston,PTV,In Service,2015,"Fri, 9th Oct 2015",CatDog: Has an E2 class drivers can at one end,
E.6030,Yarra Trams,Preston,PTV,In Service,2015,"Wed, 9th Dec 2015",,
E.6031,Yarra Trams,Preston,PTV,In Service,2015,"Wed, 9th Dec 2015",,
E.6032,Yarra Trams,Preston,PTV,In Service,2015,"Tue, 22nd Dec 2015",,
E.6033,Yarra Trams,Preston,PTV,In Service,,"Mon, 1st Feb 2016",,
E.6034,Yarra Trams,Preston,PTV,In Service,,"Mon, 29th Feb 2016",,
E.6035,Yarra Trams,Preston,PTV,In Service,2016,"Mon, 28th Mar 2016",,
E.6036,Yarra Trams,Southbank,,In Service,2016,"Thu, 28th Apr 2016",,
E.6037,Yarra Trams,Preston,PTV,In Service,2016,"Mon, 30th May 2016",,
E.6038,Yarra Trams,Preston,PTV,In Service,2016,"Mon, 4th Jul 2016",Re-entered service 2017-09-21,
E.6039,Yarra Trams,Preston,PTV,In Service,2016,"Thu, 4th Aug 2016",,
E.6040,Yarra Trams,Preston,PTV,In Service,2016,"Fri, 19th Aug 2016",,
E.6041,Yarra Trams,Preston,PTV,In Service,2016,"Wed, 7th Sep 2016",,
E.6042,Yarra Trams,Preston,PTV,In Service,2016,"Mon, 26th Sep 2016",CatDog: Has an E2 class drivers can at one end,
E.6043,Yarra Trams,Preston,PTV,In Service,2016,"Mon, 31st Oct 2016",,
E.6044,Yarra Trams,Preston,PTV,In Service,2016,"Mon, 14th Nov 2016",,
E.6045,Yarra Trams,Preston,PTV,In Service,"Tue, 25th Oct 2016","Mon, 5th Dec 2016",,
E.6046,Yarra Trams,Preston,PTV,In Service,2016,"Tue, 3rd Jan 2017",,
E.6047,Yarra Trams,Preston,,In Service,,"Wed, 8th Feb 2017",,
E.6048,Yarra Trams,Preston,,In Service,,"Fri, 24th Feb 2017",,
E.6049,Yarra Trams,Preston,PTV,In Service,2017,"Fri, 7th Apr 2017",,
E.6050,Yarra Trams,Preston,PTV,In Service,2017,"Mon, 24th Apr 2017",,
W8.856,Yarra Trams,Southbank,MMTB Green and Cream,In Service,43709,,,
